CurrentPlayerVisibility:         Column: Percentage         
 Measure   |        Value         |
-----------------------------------
    Count  |                4378  |
      sum  |  232778.73895142606  |
     Mean  |  53.170109399594615  |
      Min  |   7.142857142857142  |
      Max  |   94.94949494949495  |
    Range  |   87.80663780663781  |
 Variance  |  369.46703413769785  |
 Std. Dev  |   19.22152528124909  |

