OrdinalPosition:           Column: Player-1          
 Measure   |         Value         |
------------------------------------
    Count  |                   20  |
      sum  |                   31  |
     Mean  |   1.5499999999999996  |
      Min  |                    1  |
      Max  |                    2  |
    Range  |                    1  |
 Variance  |  0.26052631578947355  |
 Std. Dev  |   0.5104177855340403  |

